long,lat,order,hole,piece,group,id,country,forest_chg
-61.7160723538,17.0369965683,1,False,1,Antigua and Barbuda.1,Antigua and Barbuda,Antigua and Barbuda,-5.0
1.70602542482,42.503297431,1,False,1,Andorra.1,Andorra,Andorra,0.0
-87.7931111315,13.3844804957,1,False,1,El Salvador.1,El Salvador,El Salvador,-988.0
-69.89913876,12.4520051132,1,False,1,Aruba.1,Aruba,Aruba,0.0
173.020374791,-40.9190524229,1,False,1,New Zealand.1,New Zealand,New Zealand,5322.0
103.497279901,10.6325554468,1,False,1,Cambodia.1,Cambodia,Cambodia,-31048.0
-14.5086954411,66.455892239,1,False,1,Iceland.1,Iceland,Iceland,230.0
167.107712437,-14.9339201799,1,False,1,Vanuatu.1,Vanuatu,Vanuatu,0.0
31.5210014178,-29.2573869768,1,False,1,South Africa.1,South Africa,South Africa,0.0
108.050180292,21.5523798691,1,False,1,Vietnam.1,Vietnam,Vietnam,47220.0
88.1204407084,27.8765416529,1,False,1,Nepal.1,Nepal,Nepal,-11810.0
37.90607,14.95943,1,False,1,Ethiopia.1,Ethiopia,Ethiopia,-47206.0
-68.2199130927,-21.4943466122,1,False,1,Chile.1,Chile,Chile,10432.0
41.5540841001,41.5356562363,1,False,1,Georgia.1,Georgia,Georgia,-418.0
32.7593754412,-9.23059905359,1,False,1,Zambia.1,Zambia,Zambia,-36652.0
66.5186068053,37.3627843288,1,False,1,Uzbekistan.1,Uzbekistan,Uzbekistan,2227.0
28.1655473162,71.1854743517,1,False,1,Norway.1,Norway,Norway,10878.0
24.3128625831,57.7934235704,1,False,1,Estonia.1,Estonia,Estonia,1060.0
9.59422610845,47.5250580918,1,False,1,Switzerland.1,Switzerland,Switzerland,982.0
31.1914091326,-22.2515096982,1,False,1,Zimbabwe.1,Zimbabwe,Zimbabwe,-71940.0
28.9782625669,-28.9555966123,1,False,1,Lesotho.1,Lesotho,Lesotho,44.0
6.07418257002,53.5104033474,1,False,1,Netherlands.1,Netherlands,Netherlands,200.0
127.657407261,49.7602704942,1,False,1,China.1,China,China,552467.0
45.4206181171,35.9775458847,1,False,1,Iraq.1,Iraq,Iraq,210.0
91.6966565287,27.7717418483,1,False,1,Bhutan.1,Bhutan,Bhutan,2356.0
2.15447350425,11.9401500513,1,False,1,Niger.1,Niger,Niger,-7658.0
49.72862,11.5789,1,False,1,Somalia.1,Somalia,Somalia,-16886.0
32.0716654803,-26.7338200823,1,False,1,Swaziland.1,Swaziland,Swaziland,998.0
16.3449768409,-28.5767050107,1,False,1,Namibia.1,Namibia,Namibia,-16204.0
118.618320754,4.47820241945,1,False,1,Malaysia.1,Malaysia,Malaysia,-20936.0
-89.1430804105,17.8083189966,1,False,1,Belize.1,Belize,Belize,-2122.0
165.779989862,-21.0800049781,1,False,1,New Caledonia.1,New Caledonia,New Caledonia,0.0
-172.333480598,-13.4652759742,1,False,1,Samoa.1,Samoa,Samoa,410.0
15.2794604835,7.42192454674,1,False,1,Central African Republic.1,Central African Republic,Central African Republic,-6580.0
